unique_id,question_text,respondent,survey_section,display_type,type_of_response,response_ordering
Q1,"Currently, do you allow personal devices in your classroom to be used by students for educational purposes on a daily basis?",Teacher,Classroom Tech Policy,Histogram,Categorical,NO_YES
Q2,"How important is the integration of technology to your everyday teaching practices? (e.g., showing a YouTube video as an example, Google Classroom, Kahoot, etc.)",Teacher,Classroom Tech Policy,Histogram,Categorical,INTENSITY_ORDER
Q3,Does your school have a phone policy?,Teacher,Classroom Tech Policy,Histogram,Categorical,NO_YES
Q4,"Under your school’s phone policy, when are students allowed to use their phones at school? Select all that apply.",Teacher,School Phone Policy,Histogram,Categorical,PHONE_WHEN_ORDER
Q5,How does your school currently restrict access to phones?,Teacher,School Phone Policy,Histogram,Categorical,PHONE_WHERE_ORDER
Q6,"Overall, how satisfied are you with your school's phone policy? ",Teacher,School Phone Policy,Histogram,Categorical,PERCENTAGE
Q7,How consistently do teachers and staff enforce your school's phone policy? Give your best guess.,Teacher,School Phone Policy,Histogram,Categorical,PERCENTAGE
Q8,What percentage of your students are using their phone when they shouldn’t be? Give your best guess.,Teacher,School Phone Policy,Histogram,Categorical,PERCENTAGE
Q9,"In your opinion, should your school's phone policy be more or less restrictive than it is now?",Teacher,School Phone Policy,Histogram,Categorical,RESTRICTIVENESS_ORDER
Q10,What challenges have you faced with implementing and/or enforcing the phone policy?,Teacher,School Phone Policy,Text box,Open-ended,
Q11,Do you have any suggestions for overcoming those barriers?,Teacher,School Phone Policy,Text box,Open-ended,
Q12,Please rate the extent to which you agree that the following statements apply to your students.  A significant number of my students…,,,,,
Q12a,Seem interested in school,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q12b,Maintain positive and respectful relationships with each other,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q12c,Seem to care about grades,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q12d,Have good attendance,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q12e,Participate in class discussions/activities,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q12f,Need external disciplinary policies to behave,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q12g, Are respectful to staff,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q12h,Persist when tasks are challenging,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q12i,Demonstrate appropriate effort for task,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q12j,Are self-motivated,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q13,Please rate the extent to which the following statements apply to your relationship with your students in general.,,,,,
Q13a,I share warm relationships with my students.,Teacher,School Experience,Histogram,Categorical,APPLY_ORDER
Q13b,My students and I always seem to be struggling with each other.,Teacher,School Experience,Histogram,Categorical,APPLY_ORDER
Q13c,Dealing with my students drains my energy.,Teacher,School Experience,Histogram,Categorical,APPLY_ORDER
Q13d,My students' feelings toward me can be unpredictable or can change suddenly.,Teacher,School Experience,Histogram,Categorical,APPLY_ORDER
Q13e,My interactions with my students make me feel effective and confident.,Teacher,School Experience,Histogram,Categorical,APPLY_ORDER
Q13f,My students seem to feel secure with me.,Teacher,School Experience,Histogram,Categorical,APPLY_ORDER
Q14 ,Please indicate how often these behaviors occur from a significant number of your students.,,,,,
Q14a,Have difficulty staying on task,Teacher,School Experience,Histogram,Categorical,FREQUENCY_ORDER
Q14b,Yell or scream,Teacher,School Experience,Histogram,Categorical,FREQUENCY_ORDER
Q14c,Are easily distracted,Teacher,School Experience,Histogram,Categorical,FREQUENCY_ORDER
Q14d,Fail to finish tasks or projects,Teacher,School Experience,Histogram,Categorical,FREQUENCY_ORDER
Q14e,Act defiant when told to do something,Teacher,School Experience,Histogram,Categorical,FREQUENCY_ORDER
Q15,Please read each statement and mark the response that best shows how much you agree. In this school…,,,,,
Q15a,Adults who work in this school care about the students.,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q15b,Teachers care about their students.,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q15c,Students are friendly with each other.,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q15d,Students care about each other.,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q15e,Teachers show respect towards parents.,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q15f,Teachers listen to the concerns of parents.,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q15g,Students feel safe.,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q15h,The school rules are fair.,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q15i,This school makes it clear how students are expected to act.,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q15j,Students know how they are expected to act.,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q16,Please indicate how strongly you agree or disagree with the following statements about your experience as a teacher at this school.,,,,,
Q16a,I am satisfied with my co-workers’ competence.,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q16b,I am satisfied with the behavior among my students.,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q16c,I am satisfied with my parent interactions at my school.,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q16d,I feel supported by my school’s  administration with respect to our phone policy.,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q16e,I enjoy teaching.,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q16f,I get frustrated during my time teaching in the classroom.,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
Q16g,Teaching often drains my energy.,Teacher,School Experience,Histogram,Categorical,AGREEMENT_ORDER
