Timestamp,Q3. Do you feel you can contact your parent(s) in a timely manner when you need to during the school day? ,"Q5. On an average school day (from when you arrive at school to when you leave), how much time do you spend using your phone?",Q12. How satisfied are you with your school’s phone policy?,Q13. How fairly do teachers and staff enforce your school's phone policy? Give your best guess.,Q14. What percentage of your classmates are using their phone when they shouldn’t be? Give your best guess.,"Q15. In your opinion, should your school's phone policy be more or less restrictive than it is now?","In the following set of questions, we will ask about how you view your school experience. - In general, I pay attention in class.",My school is a place where... - I often feel lonely.,"Q31a. In recent weeks, how often have you experienced the following DURING school hours? [Someone teased you or called you names.]",Q33. What grade are you in? ,Q36. What is your gender?,Q38. Please share any other thoughts you have about your school's phone policy.,"We are interested in understanding how you feel about your school's phone policy. Please rate your agreement with the following statements about your behavior or feelings since the
policy was introduced. “Since the new phone policy was introduced...” - I have felt closer to my friends."
11/13/2025 23:33:33,No,5.00,10%,100% (all of the time),10%,The policy is just right,Somewhat agree,Always,Most days,10,Male,"Iaculis elementum metus vivamus. Tempus bibendum blandit ipsum molestie. Eu! Malesuada, ligula.",Somewhat disagree
11/13/2025 23:33:33,No,8.00,90%,40%,20%,The policy should be a little more restrictive,Strongly disagree,Always,About once a week,11,Female,Lectus nec culpa commodo posuere nonummy diam nulla justo convallis metus enim ante id.,Strongly disagree
11/13/2025 23:33:33,No,4.50,40%,0% (none of the time),70%,The policy is just right,Strongly agree,About half the time,This did not happen to me,8,Other,At erat molestie magnis sodales? Culpa. Justo suspendisse lacus praesent! Pede.,Strongly disagree
11/13/2025 23:33:33,Yes,1.00,50%,80%,80%,I prefer not to answer,Somewhat disagree,About half the time,Less than once a week,7,Male,Leo! Potenti leo! Nullam. Neque enim elit aliquet eleifend! Posuere donec.,Neither agree nor disagree
11/13/2025 23:33:33,Yes,3.00,20%,30%,80%,The policy should be a little less restrictive,Somewhat agree,About half the time,This did not happen to me,9,Male,"Nec! Tellus! Nec duis duis, mi sagittis mattis risus! Gravida ullamcorper vulputate mauris dapibus vitae.",Strongly agree
11/13/2025 23:33:33,Yes,4.25,30%,70%,30%,The policy is just right,Somewhat agree,Always,Most days,7,Other,Quis euismod vel non tincidunt leo suspendisse ante faucibus potenti.,Somewhat disagree
11/13/2025 23:33:33,Yes,6.00,60%,70%,60%,The policy should be much less restrictive,Neither agree / disagree,Sometimes,Less than once a week,7,Male,Cras praesent cursus laoreet! Morbi pretium orci cras! Gravida orci.,Neither agree nor disagree
11/13/2025 23:33:33,No,2.00,0% (not at all satisfied),20%,70%,The policy should be much less restrictive,Somewhat disagree,About half the time,Less than once a week,6,Female,"Curabitur donec montes dolor etiam? Duis ullamcorper, montes consequat etiam nulla cras vehicula rhoncus.",Strongly agree
11/13/2025 23:33:33,Yes,7.75,40%,70%,0%,The policy should be much more restrictive,Somewhat agree,Always,Most days,10,Other,Diam ipsum euismod. Porttitor magnis metus blandit. Ac eleifend! Nec. Mi! Ut! Luctus accusamus accumsan.,Neither agree nor disagree
11/13/2025 23:33:33,Yes,3.00,40%,70%,70%,The policy should be a little less restrictive,Somewhat agree,Never,Most days,10,Male,"Proin. Non ante! Tincidunt, sem accusamus rutrum quis? Auctor accusamus natoque turpis eget.",Neither agree nor disagree
